TEAM,PLAYER,POSITION,SCHOOL,Rating,Year.Selection,Overall sel,Pos.conv,Rated,last,first,fuzzy_key
New Orleans Saints,Tre'Quan Smith,WR,Central Florida,,2018_91,91,WR,No,Smith,Tre'Quan,smiuanithtre
Pittsburgh Steelers,Chukwuma Okorafor,T,Western Michigan,0.8547,2018_92,92,OL,Yes,Okorafor,Chukwuma,okoumaforchu
Jacksonville Jaguars,Ronnie Harrison,SAF,Alabama,0.9175,2018_93,93,DB,Yes,Harrison,Ronnie,harniesonron
Tampa Bay Buccaneers,Alex Cappa,T,Humboldt State,,2018_94,94,OL,No,Cappa,Alex,caplexppaale
San Francisco 49ers,Tarvarius Moore,SAF,Southern Mississippi,,2018_95,95,DB,No,Moore,Tarvarius,mooiusoretar
Buffalo Bills,Harrison Phillips,DT,Stanford,0.8594,2018_96,96,DL,Yes,Phillips,Harrison,phisonipshar
Arizona Cardinals,Mason Cole,C,Michigan,0.9435,2018_97,97,OL,Yes,Cole,Mason,colsonolemas
Houston Texans,Jordan Akins,TE,Central Florida,0.859,2018_98,98,TE,Yes,Akins,Jordan,akidaninsjor
Denver Broncos,Isaac Yiadom,CB,Boston College,,2018_99,99,DB,No,Yiadom,Isaac,yiaaacdomisa
Kansas City Chiefs,Dorian O'Daniel,LB,Clemson,0.9541,2018_100,100,LB,Yes,O'Daniel,Dorian,o'dianieldor
Carolina Panthers,Ian Thomas,TE,Indiana,0.8782,2018_101,101,TE,Yes,Thomas,Ian,thoianmasian
Minnesota Vikings,Jalyn Holmes,DE,Ohio State,0.965,2018_102,102,DL,Yes,Holmes,Jalyn,hollynmesjal
Houston Texans,Keke Coutee,WR,Texas Tech,0.8671,2018_103,103,WR,Yes,Coutee,Keke,coueketeekek
Indianapolis Colts,Nyheim Hines,RB,North Carolina State,0.9486,2018_104,104,RB,Yes,Hines,Nyheim,hineimnesnyh
Cleveland Browns,Antonio Callaway,WR,Florida,0.8902,2018_105,105,WR,Yes,Callaway,Antonio,calniowayant
Denver Broncos,Josey Jewell,LB,Iowa,,2018_106,106,LB,No,Jewell,Josey,jewseyelljos
New York Jets,Chris Herndon,TE,Miami (Fla.),0.8549,2018_107,107,TE,Yes,Herndon,Chris,herrisdonchr
New York Giants,Kyle Lauletta,QB,Richmond,,2018_108,108,QB,No,Lauletta,Kyle,lauylettakyl
Washington Redskins,Troy Apke,SAF,Penn State,0.8681,2018_109,109,DB,Yes,Apke,Troy,apkroypketro
Oakland Raiders,Nick Nelson,CB,Wisconsin,,2018_110,110,DB,No,Nelson,Nick,nelicksonnic
Los Angeles Rams,Brian Allen,C,Michigan State,0.8952,2018_111,111,OL,Yes,Allen,Brian,allianlenbri
Cincinnati Bengals,Mark Walton,RB,Miami (Fla.),0.9607,2018_112,112,RB,Yes,Walton,Mark,walarktonmar
Denver Broncos,DaeSean Hamilton,WR,Penn State,0.8737,2018_113,113,WR,Yes,Hamilton,DaeSean,hameantondae
Detroit Lions,Da'Shawn Hand,DE,Alabama,0.9979,2018_114,114,DL,Yes,Hand,Da'Shawn,hanawnandda'
Chicago Bears,Joel Iyiegbuniwe,LB,Western Kentucky,,2018_115,115,LB,No,Iyiegbuniwe,Joel,iyioeliwejoe
Dallas Cowboys,Dorance Armstrong,DE,Kansas,,2018_116,116,DL,No,Armstrong,Dorance,armnceongdor
Tampa Bay Buccaneers,Jordan Whitehead,SAF,Pittsburgh,0.9518,2018_117,117,DB,Yes,Whitehead,Jordan,whidaneadjor
Baltimore Ravens,Anthony Averett,CB,Alabama,0.9043,2018_118,118,DB,Yes,Averett,Anthony,aveonyettant
Los Angeles Chargers,Kyzir White,SAF,West Virginia,,2018_119,119,DB,No,White,Kyzir,whiziritekyz
Seattle Seahawks,Will Dissly,TE,Washington,,2018_120,120,TE,No,Dissly,Will,disillslywil
Buffalo Bills,Taron Johnson,CB,Weber State,,2018_121,121,DB,No,Johnson,Taron,johronsontar
Baltimore Ravens,Kenny Young,LB,UCLA,0.9253,2018_122,122,LB,Yes,Young,Kenny,younnyungken
Miami Dolphins,Durham Smythe,TE,Notre Dame,0.9056,2018_123,123,TE,Yes,Smythe,Durham,smyhamthedur
Kansas City Chiefs,Armani Watts,SAF,Texas A&M,0.9201,2018_124,124,DB,Yes,Watts,Armani,watanittsarm
Philadelphia Eagles,Avonte Maddox,CB,Pittsburgh,,2018_125,125,DB,No,Maddox,Avonte,madntedoxavo
Atlanta Falcons,Ito Smith,RB,Southern Mississippi,,2018_126,126,RB,No,Smith,Ito,smiitoithito
New Orleans Saints,Rick Leonard,T,Florida State,0.8878,2018_127,127,OL,Yes,Leonard,Rick,leoickardric
San Francisco 49ers,Kentavius Street,DE,North Carolina State,0.9517,2018_128,128,DL,Yes,Street,Kentavius,striuseetken
Jacksonville Jaguars,Will Richardson,T,North Carolina State,0.8756,2018_129,129,OL,Yes,Richardson,Will,ricillsonwil
Philadelphia Eagles,Josh Sweat,DE,Florida State,0.995,2018_130,130,DL,Yes,Sweat,Josh,sweosheatjos
Miami Dolphins,Kalen Ballage,RB,Arizona State,0.8904,2018_131,131,RB,Yes,Ballage,Kalen,ballenagekal
Baltimore Ravens,Jaleel Scott,WR,New Mexico State,,2018_132,132,WR,No,Scott,Jaleel,scoeelottjal
Green Bay Packers,J'Mon Moore,WR,Missouri,0.8653,2018_133,133,WR,Yes,Moore,J'Mon,moomonorej'm
Arizona Cardinals,Chase Edmonds,RB,Fordham,,2018_134,134,RB,No,Edmonds,Chase,edmasendscha
Los Angeles Rams,John Franklin-Myers,DE,Stephen F. Austin St.,,2018_135,135,DL,No,Franklin-Myers,John,fraohnersjoh
Carolina Panthers,Marquis Haynes,DE,Mississippi,0.8408,2018_136,136,DL,Yes,Haynes,Marquis,hayuisnesmar
Dallas Cowboys,Dalton Schultz,TE,Stanford,0.953,2018_137,137,TE,Yes,Schultz,Dalton,schtonltzdal
Cleveland Browns,Myles Garrett,DE,Texas A&M,0.9993,2017_1,1,DL,Yes,Garrett,Myles,garlesettmyl
Chicago Bears,Mitchell Trubisky,QB,North Carolina,,2017_2,2,QB,No,Trubisky,Mitchell,truellskymit
San Francisco 49ers,Solomon Thomas,DE,Stanford,0.9885,2017_3,3,DL,Yes,Thomas,Solomon,thomonmassol
Jacksonville Jaguars,Leonard Fournette,RB,LSU,0.9996,2017_4,4,RB,Yes,Fournette,Leonard,fouardtteleo
Tennessee Titans,Corey Davis,WR,Western Michigan,,2017_5,5,WR,No,Davis,Corey,davreyviscor
New York Jets,Jamal Adams,SAF,LSU,0.985,2017_6,6,DB,Yes,Adams,Jamal,adamalamsjam
Los Angeles Chargers,Mike Williams,WR,Clemson,0.8347,2017_7,7,WR,Yes,Williams,Mike,wilikeamsmik
Carolina Panthers,Christian McCaffrey,RB,Stanford,0.9593,2017_8,8,RB,Yes,McCaffrey,Christian,mccianreychr
Cincinnati Bengals,John Ross,WR,Washington,0.9001,2017_9,9,WR,Yes,Ross,John,rosohnossjoh
Kansas City Chiefs,Patrick Mahomes,QB,Texas Tech,,2017_10,10,QB,No,Mahomes,Patrick,mahickmespat
New Orleans Saints,Marshon Lattimore,CB,Ohio State,0.9737,2017_11,11,DB,Yes,Lattimore,Marshon,lathonoremar
Houston Texans,Deshaun Watson,QB,Clemson,0.9794,2017_12,12,QB,Yes,Watson,Deshaun,wataunsondes
Arizona Cardinals,Haason Reddick,LB,Temple,,2017_13,13,LB,No,Reddick,Haason,redsonickhaa
Philadelphia Eagles,Derek Barnett,DE,Tennessee,0.9181,2017_14,14,DL,Yes,Barnett,Derek,barrekettder
Indianapolis Colts,Malik Hooker,SAF,Ohio State,0.8858,2017_15,15,DB,Yes,Hooker,Malik,hoolikkermal
Baltimore Ravens,Marlon Humphrey,CB,Alabama,0.9942,2017_16,16,DB,Yes,Humphrey,Marlon,humlonreymar
Washington Redskins,Jonathan Allen,DE,Alabama,0.9924,2017_17,17,DL,Yes,Allen,Jonathan,allhanlenjon
Tennessee Titans,Adoree' Jackson,CB,USC,0.996,2017_18,18,DB,Yes,Jackson,Adoree',jacee'sonado
Tampa Bay Buccaneers,O.J. Howard,TE,Alabama,0.9916,2017_19,19,TE,Yes,Howard,O.J.,how.j.ardo.j
Denver Broncos,Garett Bolles,T,Utah,,2017_20,20,OL,No,Bolles,Garett,bolettlesgar
Detroit Lions,Jarrad Davis,LB,Florida,0.8681,2017_21,21,LB,Yes,Davis,Jarrad,davradvisjar
Miami Dolphins,Charles Harris,DE,Missouri,,2017_22,22,DL,No,Harris,Charles,harlesrischa
New York Giants,Evan Engram,TE,Mississippi,0.8435,2017_23,23,TE,Yes,Engram,Evan,engvanrameva
Oakland Raiders,Gareon Conley,CB,Ohio State,0.9329,2017_24,24,DB,Yes,Conley,Gareon,coneonleygar
Cleveland Browns,Jabrill Peppers,SAF,Michigan,0.9992,2017_25,25,DB,Yes,Peppers,Jabrill,pepillersjab
Atlanta Falcons,Takkarist McKinley,DE,UCLA,0.8669,2017_26,26,DL,Yes,McKinley,Takkarist,mckistleytak
Buffalo Bills,Tre'Davious White,CB,LSU,0.9763,2017_27,27,DB,Yes,White,Tre'Davious,whiousitetre
Dallas Cowboys,Taco Charlton,DE,Michigan,0.9386,2017_28,28,DL,Yes,Charlton,Taco,chaacotontac
Cleveland Browns,David Njoku,TE,Miami (Fla.),0.8478,2017_29,29,TE,Yes,Njoku,David,njovidokudav
Pittsburgh Steelers,T.J. Watt,LB,Wisconsin,0.8425,2017_30,30,LB,Yes,Watt,T.J.,wat.j.attt.j
San Francisco 49ers,Reuben Foster,LB,Alabama,0.9961,2017_31,31,LB,Yes,Foster,Reuben,fosbenterreu
New Orleans Saints,Ryan Ramczyk,T,Wisconsin,,2017_32,32,OL,No,Ramczyk,Ryan,ramyanzykrya
Green Bay Packers,Kevin King,CB,Washington,0.8628,2017_33,33,DB,Yes,King,Kevin,kinviningkev
Jacksonville Jaguars,Cam Robinson,T,Alabama,0.998,2017_34,34,OL,Yes,Robinson,Cam,robcamsoncam
Seattle Seahawks,Malik McDowell,DT,Michigan State,0.9853,2017_35,35,DL,Yes,McDowell,Malik,mcdlikellmal
Arizona Cardinals,Budda Baker,SAF,Washington,0.9741,2017_36,36,DB,Yes,Baker,Budda,bakddakerbud
Buffalo Bills,Zay Jones,WR,East Carolina,,2017_37,37,WR,No,Jones,Zay,jonzayneszay
Los Angeles Chargers,Forrest Lamp,G,Western Kentucky,,2017_38,38,OL,No,Lamp,Forrest,lamestampfor
New York Jets,Marcus Maye,SAF,Florida,0.9512,2017_39,39,DB,Yes,Maye,Marcus,maycusayemar
Carolina Panthers,Curtis Samuel,WR,Ohio State,0.9721,2017_40,40,WR,Yes,Samuel,Curtis,samtisuelcur
Minnesota Vikings,Dalvin Cook,RB,Florida State,0.994,2017_41,41,RB,Yes,Cook,Dalvin,coovinookdal
New Orleans Saints,Marcus Williams,SAF,Utah,0.8428,2017_42,42,DB,Yes,Williams,Marcus,wilcusamsmar
Philadelphia Eagles,Sidney Jones,CB,Washington,,2017_43,43,DB,No,Jones,Sidney,jonneynessid
Los Angeles Rams,Gerald Everett,TE,South Alabama,,2017_44,44,TE,No,Everett,Gerald,evealdettger
Chicago Bears,Adam Shaheen,TE,Ashland,,2017_45,45,TE,No,Shaheen,Adam,shadameenada
Indianapolis Colts,Quincy Wilson,CB,Florida,0.8843,2017_46,46,DB,Yes,Wilson,Quincy,wilncysonqui
Baltimore Ravens,Tyus Bowser,LB,Houston,,2017_47,47,LB,No,Bowser,Tyus,bowyussertyu
Cincinnati Bengals,Joe Mixon,RB,Oklahoma,0.9907,2017_48,48,RB,Yes,Mixon,Joe,mixjoexonjoe
Washington Redskins,Ryan Anderson,LB,Alabama,0.9634,2017_49,49,LB,Yes,Anderson,Ryan,andyansonrya
Tampa Bay Buccaneers,Justin Evans,SAF,Texas A&M,,2017_50,50,DB,No,Evans,Justin,evatinansjus
Denver Broncos,DeMarcus Walker,DE,Florida State,0.9829,2017_51,51,DL,Yes,Walker,DeMarcus,walcuskerdem
Cleveland Browns,DeShone Kizer,QB,Notre Dame,0.9073,2017_52,52,QB,Yes,Kizer,DeShone,kizonezerdes
Detroit Lions,Teez Tabor,CB,Florida,0.9925,2017_53,53,DB,Yes,Tabor,Teez,tabeezbortee
Miami Dolphins,Raekwon McMillan,LB,Ohio State,0.9896,2017_54,54,LB,Yes,McMillan,Raekwon,mcmwonlanrae
New York Giants,Dalvin Tomlinson,DT,Alabama,0.9195,2017_55,55,DL,Yes,Tomlinson,Dalvin,tomvinsondal
Oakland Raiders,Obi Melifonwu,SAF,Connecticut,,2017_56,56,DB,No,Melifonwu,Obi,melobinwuobi
Houston Texans,Zach Cunningham,LB,Vanderbilt,0.9049,2017_57,57,LB,Yes,Cunningham,Zach,cunachhamzac
Seattle Seahawks,Ethan Pocic,C,LSU,0.9744,2017_58,58,OL,Yes,Pocic,Ethan,pochanciceth
Kansas City Chiefs,Tanoh Kpassagnon,DE,Villanova,,2017_59,59,DL,No,Kpassagnon,Tanoh,kpanohnontan
Dallas Cowboys,Chidobe Awuzie,CB,Colorado,,2017_60,60,DB,No,Awuzie,Chidobe,awuobeziechi
Green Bay Packers,Josh Jones,SAF,North Carolina State,0.8505,2017_61,61,DB,Yes,Jones,Josh,jonoshnesjos
Pittsburgh Steelers,JuJu Smith-Schuster,WR,USC,0.9905,2017_62,62,WR,Yes,Smith-Schuster,JuJu,smiujuterjuj
Buffalo Bills,Dion Dawkins,G,Temple,,2017_63,63,OL,No,Dawkins,Dion,dawioninsdio
Carolina Panthers,Taylor Moton,G,Western Michigan,,2017_64,64,OL,No,Moton,Taylor,motlortontay
Cleveland Browns,Larry Ogunjobi,DT,North Carolina-Charlotte,,2017_65,65,DL,No,Ogunjobi,Larry,ogurryobilar
San Francisco 49ers,Ahkello Witherspoon,CB,Colorado,,2017_66,66,DB,No,Witherspoon,Ahkello,witllooonahk
New Orleans Saints,Alvin Kamara,RB,Tennessee,0.9797,2017_67,67,RB,Yes,Kamara,Alvin,kamvinaraalv
Jacksonville Jaguars,Dawuane Smoot,DE,Illinois,,2017_68,68,DL,No,Smoot,Dawuane,smoaneootdaw
Los Angeles Rams,Cooper Kupp,WR,Eastern Washington,,2017_69,69,WR,No,Kupp,Cooper,kupperuppcoo
Minnesota Vikings,Pat Elflein,C,Ohio State,0.8419,2017_70,70,OL,Yes,Elflein,Pat,elfpateinpat
Los Angeles Chargers,Dan Feeney,G,Indiana,0.8443,2017_71,71,OL,Yes,Feeney,Dan,feedanneydan
Tennessee Titans,Taywan Taylor,WR,Western Kentucky,,2017_72,72,WR,No,Taylor,Taywan,taywanlortay
Cincinnati Bengals,Jordan Willis,DE,Kansas State,,2017_73,73,DL,No,Willis,Jordan,wildanlisjor
Baltimore Ravens,Chris Wormley,DE,Michigan,0.9456,2017_74,74,DL,Yes,Wormley,Chris,worrisleychr
Atlanta Falcons,Duke Riley,LB,LSU,0.8656,2017_75,75,LB,Yes,Riley,Duke,rilukeleyduk
New Orleans Saints,Alex Anzalone,LB,Florida,0.975,2017_76,76,LB,Yes,Anzalone,Alex,anzlexoneale
Carolina Panthers,Daeshon Hall,DE,Texas A&M,0.9256,2017_77,77,DL,Yes,Hall,Daeshon,halhonalldae
Baltimore Ravens,Tim Williams,LB,Alabama,0.7889,2017_78,78,LB,Yes,Williams,Tim,wiltimamstim
New York Jets,ArDarius Stewart,WR,Alabama,0.9625,2017_79,79,WR,Yes,Stewart,ArDarius,steiusartard
Indianapolis Colts,Tarell Basham,DE,Ohio U.,,2017_80,80,DL,No,Basham,Tarell,basellhamtar
Washington Redskins,Fabian Moreau,CB,UCLA,,2017_81,81,DB,No,Moreau,Fabian,morianeaufab
Denver Broncos,Carlos Henderson,WR,Louisiana Tech,,2017_82,82,WR,No,Henderson,Carlos,henlossoncar
New England Patriots,Derek Rivers,OLB,Youngstown State,,2017_83,83,LB,No,Rivers,Derek,rivrekersder
Tampa Bay Buccaneers,Chris Godwin,WR,Penn State,0.9293,2017_84,84,WR,Yes,Godwin,Chris,godriswinchr
New England Patriots,Antonio Garcia,T,Troy,,2017_85,85,OL,No,Garcia,Antonio,garniociaant
Kansas City Chiefs,Kareem Hunt,RB,Toledo,,2017_86,86,RB,No,Hunt,Kareem,huneemuntkar
New York Giants,Davis Webb,QB,California,0.8671,2017_87,87,QB,Yes,Webb,Davis,webvisebbdav
Oakland Raiders,Eddie Vanderdoes,DT,UCLA,0.996,2017_88,88,DL,Yes,Vanderdoes,Eddie,vandieoesedd
Houston Texans,D'Onta Foreman,RB,Texas,,2017_89,89,RB,No,Foreman,D'Onta,forntamand'o
Seattle Seahawks,Shaquill Griffin,CB,Central Florida,,2017_90,90,DB,No,Griffin,Shaquill,griillfinsha
Los Angeles Rams,John Johnson,SAF,Boston College,0.9345,2017_91,91,DB,Yes,Johnson,John,johohnsonjoh
Dallas Cowboys,Jourdan Lewis,CB,Michigan,0.9467,2017_92,92,DB,Yes,Lewis,Jourdan,lewdanwisjou
Green Bay Packers,Montravius Adams,DT,Auburn,0.9947,2017_93,93,DL,Yes,Adams,Montravius,adaiusamsmon
Pittsburgh Steelers,Cameron Sutton,CB,Tennessee,0.8625,2017_94,94,DB,Yes,Sutton,Cameron,sutrontoncam
Seattle Seahawks,Delano Hill,SAF,Michigan,0.8953,2017_95,95,DB,Yes,Hill,Delano,hilanoilldel
Detroit Lions,Kenny Golladay,WR,Northern Illinois,,2017_96,96,WR,No,Golladay,Kenny,golnnydayken
Miami Dolphins,Cordrea Tankersley,CB,Clemson,0.9051,2017_97,97,DB,Yes,Tankersley,Cordrea,tanrealeycor
Arizona Cardinals,Chad Williams,WR,Grambling State,,2017_98,98,WR,No,Williams,Chad,wilhadamscha
Philadelphia Eagles,Rasul Douglas,CB,West Virginia,,2017_99,99,DB,No,Douglas,Rasul,dousullasras
Tennessee Titans,Jonnu Smith,TE,Florida International,,2017_100,100,TE,No,Smith,Jonnu,sminnuithjon
Denver Broncos,Brendan Langley,CB,Lamar,0.9225,2017_101,101,DB,Yes,Langley,Brendan,landanleybre
Seattle Seahawks,Nazair Jones,DT,North Carolina,0.8746,2017_102,102,DL,Yes,Jones,Nazair,jonairnesnaz
New Orleans Saints,Trey Hendrickson,DE,Florida Atlantic,,2017_103,103,DL,No,Hendrickson,Trey,henreysontre
San Francisco 49ers,C.J. Beathard,QB,Iowa,,2017_104,104,QB,No,Beathard,C.J.,bea.j.ardc.j
Pittsburgh Steelers,James Conner,RB,Pittsburgh,,2017_105,105,RB,No,Conner,James,conmesnerjam
Seattle Seahawks,Amara Darboh,WR,Michigan,0.9188,2017_106,106,WR,Yes,Darboh,Amara,dararabohama
Tampa Bay Buccaneers,Kendell Beckwith,LB,LSU,0.9671,2017_107,107,LB,Yes,Beckwith,Kendell,becellithken
Green Bay Packers,Vince Biegel,LB,Wisconsin,0.9388,2017_108,108,LB,Yes,Biegel,Vince,biencegelvin
Minnesota Vikings,Jaleel Johnson,DT,Iowa,0.9212,2017_109,109,DL,Yes,Johnson,Jaleel,joheelsonjal
Jacksonville Jaguars,Dede Westbrook,WR,Oklahoma,,2017_110,110,WR,No,Westbrook,Dede,wesedeookded
Seattle Seahawks,Tedric Thompson,SAF,Colorado,0.8457,2017_111,111,DB,Yes,Thompson,Tedric,thoricsonted
Chicago Bears,Eddie Jackson,SAF,Alabama,0.8857,2017_112,112,DB,Yes,Jackson,Eddie,jacdiesonedd
Los Angeles Chargers,Rayshawn Jenkins,SAF,Miami (Fla.),0.8524,2017_113,113,DB,Yes,Jenkins,Rayshawn,jenawninsray
Washington Redskins,Samaje Perine,RB,Oklahoma,0.907,2017_114,114,RB,Yes,Perine,Samaje,perajeinesam
Arizona Cardinals,Dorian Johnson,G,Pittsburgh,0.9777,2017_115,115,OL,Yes,Johnson,Dorian,johiansondor
Cincinnati Bengals,Carl Lawson,DE,Auburn,0.9897,2017_116,116,DL,Yes,Lawson,Carl,lawarlsoncar
Los Angeles Rams,Josh Reynolds,WR,Texas A&M,,2017_117,117,WR,No,Reynolds,Josh,reyoshldsjos
Philadelphia Eagles,Mack Hollins,WR,North Carolina,,2017_118,118,WR,No,Hollins,Mack,holackinsmac
Chicago Bears,Tarik Cohen,RB,North Carolina A&T,,2017_119,119,RB,No,Cohen,Tarik,cohrikhentar
Minnesota Vikings,Ben Gedeon,LB,Michigan,0.9149,2017_120,120,LB,Yes,Gedeon,Ben,gedbeneonben
San Francisco 49ers,Joe Williams,RB,Utah,,2017_121,121,RB,No,Williams,Joe,wiljoeamsjoe
Baltimore Ravens,Nico Siragusa,G,San Diego State,0.8428,2017_122,122,OL,Yes,Siragusa,Nico,siricousanic
Washington Redskins,Montae Nicholson,SAF,Michigan State,0.9215,2017_123,123,DB,Yes,Nicholson,Montae,nictaesonmon
Detroit Lions,Jalen Reeves-Maybin,LB,Tennessee,0.905,2017_124,124,LB,Yes,Reeves-Maybin,Jalen,reelenbinjal
Los Angeles Rams,Samson Ebukam,LB,Eastern Washington,,2017_125,125,LB,No,Ebukam,Samson,ebusonkamsam
Cleveland Browns,Howard Wilson,CB,Houston,,2017_126,126,DB,No,Wilson,Howard,wilardsonhow
Detroit Lions,Michael Roberts,TE,Toledo,,2017_127,127,TE,No,Roberts,Michael,robaelrtsmic
Cincinnati Bengals,Josh Malone,WR,Tennessee,0.9826,2017_128,128,WR,Yes,Malone,Josh,maloshonejos
Oakland Raiders,David Sharpe,T,Florida,0.9437,2017_129,129,OL,Yes,Sharpe,David,shavidrpedav
Houston Texans,Julie'n Davenport,T,Bucknell,,2017_130,130,OL,No,Davenport,Julie'n,dave'nortjul
New England Patriots,Deatrich Wise,DE,Arkansas,,2017_131,131,DL,No,Wise,Deatrich,wisichisedea
Philadelphia Eagles,DJ Pumphrey,RB,San Diego State,,2017_132,132,RB,No,Pumphrey,DJ,pumdjreydj
Dallas Cowboys,Ryan Switzer,WR,North Carolina,0.8706,2017_133,133,WR,Yes,Switzer,Ryan,swiyanzerrya
Green Bay Packers,Jamaal Williams,RB,Brigham Young,,2017_134,134,RB,No,Williams,Jamaal,wilaalamsjam
Pittsburgh Steelers,Joshua Dobbs,QB,Tennessee,0.9305,2017_135,135,QB,Yes,Dobbs,Joshua,dobhuabbsjos
Atlanta Falcons,Sean Harlow,G,Oregon State,0.864,2017_136,136,OL,Yes,Harlow,Sean,hareanlowsea
Indianapolis Colts,Zach Banner,T,USC,0.9703,2017_137,137,OL,Yes,Banner,Zach,banachnerzac
Cincinnati Bengals,Ryan Glasgow,DT,Michigan,,2017_138,138,DL,No,Glasgow,Ryan,glayangowrya
Kansas City Chiefs,Jehu Chesson,WR,Michigan,0.865,2017_139,139,WR,Yes,Chesson,Jehu,cheehusonjeh
New York Giants,Wayne Gallman,RB,Clemson,0.8938,2017_140,140,RB,Yes,Gallman,Wayne,galynemanway
New York Jets,Chad Hansen,WR,California,,2017_141,141,WR,No,Hansen,Chad,hanhadsencha
Houston Texans,Carlos Watkins,DT,Clemson,0.9666,2017_142,142,DL,Yes,Watkins,Carlos,watlosinscar
Indianapolis Colts,Marlon Mack,RB,South Florida,0.8531,2017_143,143,RB,Yes,Mack,Marlon,maclonackmar
Indianapolis Colts,Grover Stewart,DT,Albany State (Ga.),,2017_144,144,DL,No,Stewart,Grover,steverartgro
Los Angeles Rams,Jared Goff,QB,California,0.9154,2016_1,1,QB,Yes,Goff,Jared,gofredoffjar
Philadelphia Eagles,Carson Wentz,QB,North Dakota State,,2016_2,2,QB,No,Wentz,Carson,wensonntzcar
San Diego Chargers,Joey Bosa,DE,Ohio State,0.9819,2016_3,3,DL,Yes,Bosa,Joey,bosoeyosajoe
Dallas Cowboys,Ezekiel Elliott,RB,Ohio State,0.9711,2016_4,4,RB,Yes,Elliott,Ezekiel,ellielotteze
Jacksonville Jaguars,Jalen Ramsey,CB,Florida State,0.9923,2016_5,5,DB,Yes,Ramsey,Jalen,ramlenseyjal
Baltimore Ravens,Ronnie Stanley,T,Notre Dame,0.9462,2016_6,6,OL,Yes,Stanley,Ronnie,stanieleyron
San Francisco 49ers,DeForest Buckner,DE,Oregon,0.9177,2016_7,7,DL,Yes,Buckner,DeForest,bucestnerdef
Tennessee Titans,Jack Conklin,T,Michigan State,,2016_8,8,OL,No,Conklin,Jack,conacklinjac
Chicago Bears,Leonard Floyd,LB,Georgia,0.9411,2016_9,9,LB,Yes,Floyd,Leonard,floardoydleo
New York Giants,Eli Apple,CB,Ohio State,0.9749,2016_10,10,DB,Yes,Apple,Eli,appelipleeli
Tampa Bay Buccaneers,Vernon Hargreaves,CB,Florida,,2016_11,11,DB,No,Hargreaves,Vernon,harnonvesver
New Orleans Saints,Sheldon Rankins,DT,Louisville,0.8555,2016_12,12,DL,Yes,Rankins,Sheldon,randoninsshe
Miami Dolphins,Laremy Tunsil,T,Mississippi,0.9976,2016_13,13,OL,Yes,Tunsil,Laremy,tunemysillar
Oakland Raiders,Karl Joseph,SAF,West Virginia,0.877,2016_14,14,DB,Yes,Joseph,Karl,josarlephkar
Cleveland Browns,Corey Coleman,WR,Baylor,0.9371,2016_15,15,WR,Yes,Coleman,Corey,colreymancor
Detroit Lions,Taylor Decker,T,Ohio State,0.9326,2016_16,16,OL,Yes,Decker,Taylor,declorkertay
Atlanta Falcons,Keanu Neal,SAF,Florida,0.9486,2016_17,17,DB,Yes,Neal,Keanu,neaanuealkea
Indianapolis Colts,Ryan Kelly,C,Alabama,0.901,2016_18,18,OL,Yes,Kelly,Ryan,kelyanllyrya
Buffalo Bills,Shaq Lawson,DE,Clemson,0.8944,2016_19,19,DL,Yes,Lawson,Shaq,lawhaqsonsha
New York Jets,Darron Lee,LB,Ohio State,0.8595,2016_20,20,LB,Yes,Lee,Darron,leeronleedar
Houston Texans,Will Fuller,WR,Notre Dame,0.9005,2016_21,21,WR,Yes,Fuller,Will,fulilllerwil
Washington Redskins,Josh Doctson,WR,Texas Christian,,2016_22,22,WR,No,Doctson,Josh,docoshsonjos
Minnesota Vikings,Laquon Treadwell,WR,Mississippi,0.9925,2016_23,23,WR,Yes,Treadwell,Laquon,treuonelllaq
Cincinnati Bengals,William Jackson,CB,Houston,,2016_24,24,DB,No,Jackson,William,jaciamsonwil
Pittsburgh Steelers,Artie Burns,CB,Miami (Fla.),0.9545,2016_25,25,DB,Yes,Burns,Artie,burtiernsart
Denver Broncos,Paxton Lynch,QB,Memphis,,2016_26,26,QB,No,Lynch,Paxton,lyntonnchpax
Green Bay Packers,Kenny Clark,NT,UCLA,0.9016,2016_27,27,DL,Yes,Clark,Kenny,clannyarkken
San Francisco 49ers,Joshua Garnett,G,Stanford,0.9825,2016_28,28,OL,Yes,Garnett,Joshua,garhuaettjos
Arizona Cardinals,Robert Nkemdiche,DT,Mississippi,1,2016_29,29,DL,Yes,Nkemdiche,Robert,nkeertcherob
Carolina Panthers,Vernon Butler,DT,Louisiana Tech,,2016_30,30,DL,No,Butler,Vernon,butnonlerver
Seattle Seahawks,Germain Ifedi,G,Texas A&M,0.9098,2016_31,31,OL,Yes,Ifedi,Germain,ifeainediger
Cleveland Browns,Emmanuel Ogbah,DE,Oklahoma State,0.8646,2016_32,32,DL,Yes,Ogbah,Emmanuel,ogbuelbahemm
Tennessee Titans,Kevin Dodd,DE,Clemson,0.8378,2016_33,33,DL,Yes,Dodd,Kevin,dodvinoddkev
Dallas Cowboys,Jaylon Smith,OLB,Notre Dame,0.9987,2016_34,34,LB,Yes,Smith,Jaylon,smilonithjay
San Diego Chargers,Hunter Henry,TE,Arkansas,0.9634,2016_35,35,TE,Yes,Henry,Hunter,henternryhun
Jacksonville Jaguars,Myles Jack,LB,UCLA,0.914,2016_36,36,LB,Yes,Jack,Myles,jaclesackmyl
